ClientAccountID,CurrencyPrimary,AssetClass,FXRateToBase,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,UnderlyingConid,UnderlyingSymbol,Issuer,ReportDate,Quantity,Multiplier,MarkPrice,PositionValue,OpenPrice,CostBasisPrice,CostBasisMoney,PercentOfNAV,FifoPnlUnrealized,Side,LevelOfDetail,OpenDateTime,HoldingPeriodDateTime,Code,OriginatingOrderID
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,300,1,4.21,1263,5.135,5.135,1540.5,,-277.5,Long,LOT,20110916;150340,20110916;150340,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,300,1,4.21,1263,5.135,5.135,1540.5,,-277.5,Long,LOT,20110916;150301,20110916;150301,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.135,5.135,513.5,,-92.5,Long,LOT,20110916;150301,20110916;150301,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.135,5.135,513.5,,-92.5,Long,LOT,20110916;144147,20110916;144147,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,600,1,4.21,2526,5.135,5.135,3081,,-555,Long,LOT,20110916;143258,20110916;143258,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,200,1,4.21,842,5.135,5.135,1027,,-185,Long,LOT,20110916;143258,20110916;143258,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.135,5.135,513.5,,-92.5,Long,LOT,20110916;143258,20110916;143258,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,600,1,4.21,2526,5.135,5.135,3081,,-555,Long,LOT,20110916;143258,20110916;143258,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.135,5.135,513.5,,-92.5,Long,LOT,20110916;143258,20110916;143258,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,400,1,4.21,1684,5.135,5.135,2054,,-370,Long,LOT,20110916;143258,20110916;143258,,317808311
